manga_id,demographic_id
583,32aca857-3a28-499d-a172-f3f1aa70b534
35573,2d5b9e9c-1f01-43f8-b7c4-c35baf86af84
1224,760597dc-608b-4748-a57c-68a4a9b4f024
56529,760597dc-608b-4748-a57c-68a4a9b4f024
81117,760597dc-608b-4748-a57c-68a4a9b4f024
418,760597dc-608b-4748-a57c-68a4a9b4f024
3285,760597dc-608b-4748-a57c-68a4a9b4f024
936,760597dc-608b-4748-a57c-68a4a9b4f024
39325,760597dc-608b-4748-a57c-68a4a9b4f024
3009,32aca857-3a28-499d-a172-f3f1aa70b534
4,760597dc-608b-4748-a57c-68a4a9b4f024
112318,32aca857-3a28-499d-a172-f3f1aa70b534
48621,32aca857-3a28-499d-a172-f3f1aa70b534
96792,32aca857-3a28-499d-a172-f3f1aa70b534
1303,32aca857-3a28-499d-a172-f3f1aa70b534
99314,760597dc-608b-4748-a57c-68a4a9b4f024
24,32aca857-3a28-499d-a172-f3f1aa70b534
39883,32aca857-3a28-499d-a172-f3f1aa70b534
14790,32aca857-3a28-499d-a172-f3f1aa70b534
10,760597dc-608b-4748-a57c-68a4a9b4f024
106,2d5b9e9c-1f01-43f8-b7c4-c35baf86af84
5255,2d5b9e9c-1f01-43f8-b7c4-c35baf86af84
768,760597dc-608b-4748-a57c-68a4a9b4f024
97244,760597dc-608b-4748-a57c-68a4a9b4f024
267,760597dc-608b-4748-a57c-68a4a9b4f024
33031,32aca857-3a28-499d-a172-f3f1aa70b534
149,760597dc-608b-4748-a57c-68a4a9b4f024
100035,760597dc-608b-4748-a57c-68a4a9b4f024
62795,32aca857-3a28-499d-a172-f3f1aa70b534
3378,2d5b9e9c-1f01-43f8-b7c4-c35baf86af84
103701,32aca857-3a28-499d-a172-f3f1aa70b534
9,32aca857-3a28-499d-a172-f3f1aa70b534
102343,32aca857-3a28-499d-a172-f3f1aa70b534
24705,32aca857-3a28-499d-a172-f3f1aa70b534
103897,32aca857-3a28-499d-a172-f3f1aa70b534
38071,760597dc-608b-4748-a57c-68a4a9b4f024
1649,760597dc-608b-4748-a57c-68a4a9b4f024
100128,32aca857-3a28-499d-a172-f3f1aa70b534
11514,760597dc-608b-4748-a57c-68a4a9b4f024
31,2d5b9e9c-1f01-43f8-b7c4-c35baf86af84
436,760597dc-608b-4748-a57c-68a4a9b4f024
3731,760597dc-608b-4748-a57c-68a4a9b4f024
756,2d5b9e9c-1f01-43f8-b7c4-c35baf86af84
658,760597dc-608b-4748-a57c-68a4a9b4f024
