manga_id,author_id,role
3572,2539,Story & Art
11767,3424,Story & Art
635,2039,Story & Art
23900,2485,Art
23900,5092,Story
1262,2916,Art
1262,5092,Story
22519,1900,Art
22519,10915,Story
134696,53789,Story & Art
79193,49412,Story
79193,49942,Art
1978,2545,Story & Art
24875,5389,Story
24875,6795,Art
8456,5637,Art
8456,5638,Story
1250,2083,Story
1250,8642,Art
12917,1910,Story & Art
123475,52257,Story
123475,52258,Art
411,2389,Story
411,2390,Art
877,2571,Story & Art
67615,15487,Art
67615,29403,Story
44227,5254,Story
44227,8594,Art
373,2356,Story & Art
10270,6275,Story & Art
17706,1987,Story & Art
54897,23371,Story & Art
674,3152,Story & Art
62887,1888,Art
62887,7256,Story
62887,12823,Story
93695,3682,Story & Art
37705,17643,Story & Art
25081,2005,Art
25081,2236,Story
16,1883,Story & Art
107,1877,Story & Art
14721,8214,Story & Art
39625,15305,Art
39625,18249,Story
55,1914,Story & Art
895,2622,Story
895,10255,Art
26178,8262,Story & Art
915,3510,Story & Art
649,2113,Story & Art
77601,33629,Story & Art
63535,10360,Story & Art
74,1932,Story & Art
44501,13877,Story & Art
2924,2377,Story & Art
88930,37853,Art
88930,37854,Story
9982,6995,Story & Art
50,1910,Story & Art
95353,17265,Art
95353,39806,Story
22687,3380,Story & Art
128231,41156,Art
128231,51718,Story
1013,2104,Story & Art
98578,2994,Story & Art
1092,2834,Story & Art
112774,38188,Story & Art
1695,1938,Story & Art
158,2131,Story & Art
158,2723,Story
912,2410,Story & Art
97092,27087,Story & Art
109608,39800,Story
109608,46731,Art
118,1877,Story & Art
3258,3025,Story & Art
104491,21107,Story & Art
696,5074,Story & Art
448,2039,Story & Art
42001,11796,Story & Art
123649,39675,Art
123649,41470,Art
123649,52073,Story
14739,3243,Story & Art
13949,5254,Story
13949,8162,Art
392,2366,Story & Art
35733,16387,Art
40,1900,Story & Art
43661,9715,Art
43661,11437,Story
43661,46884,Story
66057,16369,Story & Art
35171,10920,Story & Art
133,1877,Story & Art
4584,4083,Story & Art
52277,11466,Story
52277,22709,Art
1456,2800,Art
1456,3146,Story
44711,13385,Art
44711,19235,Story
44711,19237,Art
116808,44457,Story & Art
28226,3478,Story & Art
123006,24379,Story
123006,52032,Art
37,1878,Story & Art
72303,31915,Story
72303,31917,Art
17207,3118,Story & Art
37523,16861,Story
37523,16991,Art
89467,21151,Story & Art
1260,2917,Art
1260,5092,Story
19266,2871,Story & Art
35035,6668,Story & Art
92182,14013,Story
92182,23145,Art
124,1937,Story & Art
44677,4545,Story & Art
87813,10666,Story & Art
12888,3651,Story & Art
83807,6854,Story & Art
1076,5777,Story & Art
146909,58250,Art
146909,58251,Story
14633,2908,Story & Art
146878,58242,Art
146878,58249,Story
15578,8604,Story & Art
48151,8785,Story & Art
5157,4488,Story & Art
2895,2855,Story & Art
688,1891,Story & Art
3537,3703,Story & Art
41865,2619,Art
41865,2933,Story
9726,5254,Story
9726,10875,Art
146966,58155,Story
146966,58156,Art
1263,2915,Art
1263,5092,Story
127907,9177,Story & Art
8878,6659,Story & Art
31499,4766,Story & Art
98720,23403,Art
98720,39800,Story
1162,2279,Story & Art
660,2912,Story & Art
929,1930,Story & Art
509,2182,Story & Art
3573,2539,Story & Art
45,1905,Story & Art
86119,10062,Art
86119,36777,Story
138533,56375,Story & Art
107948,41713,Story & Art
8158,1888,Art
8158,36692,Story
91037,5059,Story & Art
771,2598,Story & Art
139164,10904,Art
139164,47382,Story
1075,2809,Story & Art
14841,2948,Story
14841,9067,Art
1325,1938,Story & Art
48397,4212,Story
48397,21029,Art
123681,41712,Art
123681,43247,Story
5806,6647,Story & Art
3749,3751,Art
3749,5092,Story
1721,3154,Story & Art
366,1117,Story
366,2867,Art
131843,53140,Story & Art
1926,3230,Story & Art
41847,12192,Story & Art
8070,6386,Story & Art
1014,2104,Story & Art
14110,4747,Story & Art
120367,49648,Story & Art
80385,3633,Art
80385,26303,Story
42545,2405,Story & Art
120875,49651,Story & Art
94919,19049,Story
94919,37602,Art
94376,19507,Story & Art
1964,3243,Story & Art
36723,16723,Story
36723,16727,Art
122906,4340,Art
122906,52185,Story
50027,21949,Story
50027,21951,Art
407,2381,Story & Art
90531,1879,Art
90531,23473,Story
90531,32699,Story
24821,2522,Story
24821,10599,Art
710,2511,Story & Art
3076,2434,Story & Art
1735,3157,Story & Art
9548,5092,Story
9548,10695,Art
13001,7362,Story & Art
110029,46887,Story & Art
13801,2251,Story & Art
1111,1938,Story & Art
1376,2974,Story & Art
148467,60638,Story & Art
107417,17643,Story & Art
26021,11738,Story & Art
47363,19049,Story
47363,19053,Art
73603,8362,Art
73603,32257,Story
106609,2410,Story & Art
106609,9154,Story
582,2516,Story & Art
115848,48818,Story & Art
28533,7879,Story & Art
3574,2539,Story & Art
80719,17769,Art
80719,32649,Story
19671,2347,Story
19671,2885,Story
19671,6332,Art
387,2363,Story & Art
21151,3326,Story & Art
41733,18571,Art
41733,18573,Story
3486,2673,Art
3486,2723,Story
5627,1886,Story
5627,4669,Art
80375,8697,Story & Art
36,1878,Story & Art
90117,30849,Art
90117,38222,Story
15205,2483,Story
15205,8453,Art
871,2954,Story
871,2955,Art
147863,58712,Story
147863,58713,Art
111276,47005,Story & Art
111532,41845,Story & Art
572,2541,Story & Art
139152,1880,Story & Art
30779,2867,Story & Art
5994,3326,Story & Art
109330,37251,Story & Art
101,1948,Story & Art
153158,46894,Story & Art
888,3091,Story & Art
107875,17643,Story & Art
37067,10867,Story & Art
5107,2561,Story & Art
128594,1881,Story
128594,1955,Story
128594,3537,Art
128594,29559,Story
584,2518,Story & Art
15490,2959,Story & Art
219,2226,Story
219,6644,Art
214,2220,Story & Art
214,2337,Story
7107,2867,Story & Art
98374,1877,Story & Art
109339,37314,Art
109339,41629,Story
88600,37729,Story & Art
775,2599,Story & Art
975,2039,Story & Art
703,3098,Story & Art
55377,23825,Story & Art
55403,1896,Story & Art
120716,50321,Story & Art
56755,5779,Story
56755,24483,Art
3565,3204,Story & Art
113555,40753,Story & Art
113555,49748,Story & Art
3713,3257,Art
3713,3747,Story
14440,2895,Story & Art
118568,50070,Story & Art
5394,3646,Story & Art
62509,17547,Story & Art
111996,47599,Story & Art
48649,21083,Story & Art
137200,48825,Story
137200,54430,Art
18597,2628,Story & Art
147272,59186,Story
147272,59187,Art
1506,2302,Story & Art
108696,41667,Story & Art
1709,2922,Story & Art
17541,6593,Story
17541,9737,Art
15104,2371,Art
15104,2372,Story
5113,4457,Story & Art
11516,8627,Art
11516,10558,Story
110737,27461,Story & Art
91767,8512,Story & Art
8840,4896,Story & Art
85719,7446,Story & Art
111745,3490,Story & Art
74847,15753,Art
74847,32699,Story
115217,25029,Story & Art
72949,18107,Story & Art
84559,5625,Story & Art
103890,7447,Story & Art
1121,2827,Story
1121,2828,Art
71,1930,Story & Art
19594,2276,Story & Art
2436,3537,Story & Art
92252,10797,Story & Art
976,2483,Story
976,2766,Art
1261,2918,Art
1261,5092,Story
43465,14801,Story & Art
25322,12289,Art
25322,12291,Story
19980,8234,Story & Art
41435,18379,Art
41435,18473,Story
14127,2932,Story
14127,3244,Art
141833,55695,Story & Art
119024,49769,Story & Art
11646,3272,Story & Art
61579,2539,Story & Art
792,2623,Story & Art
14582,7999,Story & Art
89217,4142,Story & Art
49,1909,Story & Art
35513,15803,Story
97977,12225,Story & Art
1741,3160,Story & Art
1297,7237,Story
1297,7238,Art
11438,2765,Story
11438,5524,Art
7010,2426,Story & Art
60509,6257,Story & Art
11425,4488,Story & Art
98639,28597,Story & Art
123444,41709,Story
123444,41813,Art
108032,2577,Art
108032,41546,Story
17394,2038,Story & Art
14120,2511,Story & Art
95311,33357,Art
95311,39800,Story
11850,5723,Story & Art
13723,2000,Story & Art
14115,8443,Story & Art
12586,7210,Story & Art
766,2555,Story & Art
131008,52625,Story
131008,52626,Art
926,2682,Story & Art
44167,18153,Story
44167,19261,Art
12064,3646,Story & Art
23689,13203,Story & Art
59961,13523,Story & Art
131706,41813,Story & Art
111211,17643,Story & Art
23627,11715,Story & Art
117580,25033,Art
117580,31905,Story
789,2621,Art
789,2622,Story
8947,4039,Story & Art
82427,3201,Story
82427,3877,Art
26441,10469,Art
26441,13135,Story
773,2603,Story & Art
123812,50374,Story & Art
1340,2273,Story & Art
14369,13201,Story & Art
9738,2915,Art
9738,5092,Story
123270,50361,Story & Art
2923,2312,Story & Art
6624,2697,Story & Art
1267,1894,Story & Art
67401,29307,Story & Art
595,2523,Story
164,2184,Story & Art
54,1913,Story & Art
11593,6553,Story & Art
801,2218,Story & Art
107539,45742,Story & Art
37641,16375,Art
37641,17065,Story
9547,2917,Art
9547,5092,Story
8446,5633,Story & Art
107566,41699,Art
107566,43535,Story
98,1948,Story & Art
36213,16529,Story & Art
18511,1991,Art
18511,7256,Story
142600,56101,Story & Art
39859,11111,Art
39859,18377,Story
46010,1877,Story & Art
118858,3024,Story & Art
143031,15485,Story & Art
1158,2406,Story
1158,2859,Art
14975,2370,Story & Art
93610,34943,Story & Art
23571,2409,Story & Art
124085,50439,Story & Art
131807,8438,Story & Art
124520,50732,Story & Art
24098,5524,Art
24098,11882,Story
1648,3328,Story
1648,6544,Art
21860,12969,Story
21860,22235,Art
284,2273,Story & Art
36903,1931,Art
36903,10363,Story
114754,41813,Story & Art
4514,2191,Story & Art
70,1928,Story & Art
117080,43284,Story & Art
87397,3848,Story & Art
87397,9026,Story & Art
513,2465,Story & Art
932,2751,Story & Art
11072,6697,Art
11072,6698,Story
17892,3272,Story & Art
74695,10426,Art
74695,32649,Story
24822,2400,Art
24822,16573,Story
61959,2619,Story & Art
818,2563,Story & Art
62083,21509,Art
62083,22237,Story
122936,45162,Story
122936,52030,Art
587,2520,Story & Art
124094,21071,Story & Art
47022,8494,Story & Art
7627,5334,Story & Art
116539,3906,Art
116539,5854,Story
2062,2582,Story & Art
2062,3250,Story
2062,4054,Art
33699,2593,Story
33699,15591,Art
33699,15613,Story
122464,1902,Story
122464,3537,Story & Art
1571,1930,Story & Art
7887,5417,Story & Art
120177,50382,Story & Art
534,2483,Story
534,2485,Art
70589,2318,Story & Art
93122,27087,Story & Art
78477,33903,Story & Art
28343,2561,Story & Art
1533,6284,Story & Art
13897,8374,Story
13897,16325,Art
128463,12254,Story & Art
907,2682,Story & Art
87953,2426,Art
87953,36954,Story
894,3636,Story & Art
140765,48825,Story
140765,56093,Art
339,2322,Story & Art
95211,6973,Story & Art
95211,28123,Story
1397,2890,Story & Art
1896,3217,Story & Art
57201,24859,Art
57201,24919,Story
14154,4039,Story & Art
24825,12133,Story & Art
398,2371,Art
398,2372,Story
88923,10907,Art
88923,37840,Story
70557,31429,Story
70557,31431,Art
3941,2885,Story
3941,3830,Art
344,2329,Story & Art
117851,8886,Story & Art
45947,19860,Story & Art
102703,5583,Story & Art
442,2409,Story & Art
130740,52532,Story & Art
36131,3696,Story & Art
18570,9120,Story & Art
5029,4445,Story & Art
510,2182,Story & Art
42579,17583,Story & Art
1218,2539,Story & Art
1039,2802,Story & Art
1895,2697,Story & Art
1216,1894,Story & Art
17396,2871,Story & Art
30051,14013,Story
30051,19950,Art
483,2346,Story & Art
4293,3646,Story & Art
128072,29901,Story & Art
17890,3272,Story & Art
1345,2913,Story
1345,2953,Art
160710,1879,Story & Art
118873,49722,Story
118873,49723,Art
32779,8196,Story & Art
17374,9005,Story & Art
112592,28927,Story & Art
82745,4546,Story & Art
122672,25549,Art
122672,45559,Story
399,2373,Story
399,2374,Art
3116,2548,Story & Art
878,2481,Story & Art
1534,2563,Story & Art
96194,27019,Art
96194,36777,Story
58,1917,Story & Art
112090,36149,Story & Art
38,1899,Story & Art
1102,2818,Story & Art
3493,3218,Story & Art
40345,17965,Story & Art
112988,5583,Story & Art
556,2494,Story
556,2496,Art
1037,2887,Story & Art
1037,2888,Story & Art
120891,49444,Story & Art
90,1944,Story & Art
598,1882,Story & Art
49537,7893,Story & Art
64465,2718,Story & Art
113560,48343,Story & Art
144180,56752,Story & Art
122842,50194,Story & Art
48881,9553,Story & Art
4608,5155,Story & Art
136,1966,Story & Art
113671,48009,Story
113671,48010,Art
45855,19807,Story
45855,22209,Art
37013,16983,Story
37013,16985,Art
13748,2049,Story
13748,2202,Art
669,2604,Story
669,2844,Art
116157,39774,Story
116157,47794,Art
99949,2897,Art
99949,18837,Story
144034,38518,Art
144034,54893,Story
52047,2812,Story & Art
125448,51180,Story & Art
257,1918,Story & Art
116880,10153,Art
116880,11423,Story
11366,6743,Story & Art
19423,2619,Story & Art
147692,58550,Story
147692,58551,Art
23736,4580,Story & Art
3614,2836,Story & Art
1211,4660,Story & Art
1097,2182,Story & Art
95920,18281,Story & Art
1342,2948,Story
1342,2949,Art
84,1930,Story & Art
34091,12054,Story & Art
41629,15803,Story
41629,18487,Art
112483,47861,Story & Art
103856,18243,Story & Art
103562,36409,Story & Art
57239,18409,Art
57239,24471,Story
36719,16723,Story
36719,16725,Art
15355,2836,Story & Art
99221,27087,Story & Art
147062,49769,Story & Art
892,2652,Story
892,2653,Art
1469,3028,Story & Art
615,2541,Story & Art
89960,10426,Art
89960,32649,Story
1766,1919,Story & Art
14498,3642,Story & Art
145539,57273,Story
145539,57274,Art
117077,44281,Story
796,1901,Story & Art
118232,5153,Art
118232,49937,Story
544,1974,Story & Art
104076,3753,Story & Art
46258,11320,Story & Art
17007,5368,Story & Art
47953,14801,Story & Art
16659,2539,Story & Art
65473,28595,Story & Art
820,2634,Story & Art
50331,13095,Story & Art
45275,12289,Art
45275,19221,Story
21614,11214,Story & Art
16061,6257,Story & Art
117623,48998,Story & Art
79061,34091,Story & Art
39565,5583,Story & Art
101119,3537,Story & Art
1051,3796,Story & Art
147172,58280,Story & Art
755,2563,Story & Art
116312,57701,Story & Art
29699,11882,Story
885,2039,Story & Art
109229,43163,Story & Art
118728,49450,Story & Art
127993,52119,Story
127993,52120,Art
129361,49081,Art
129361,51946,Story
36615,16703,Story & Art
61097,2481,Story & Art
11670,3243,Story & Art
1208,2874,Story & Art
96050,39923,Story & Art
108021,46190,Story & Art
2459,1987,Story & Art
25682,10867,Story & Art
1185,2104,Story & Art
314,2301,Story & Art
93609,34943,Story & Art
1444,2908,Story & Art
44933,10308,Story
44933,19551,Art
18320,3906,Art
18320,5854,Story
7775,5389,Story
7775,22341,Art
28091,13154,Story & Art
14065,7706,Story & Art
122392,5606,Story
122392,12367,Art
13381,2871,Story & Art
112091,36149,Story & Art
10893,2545,Story & Art
118196,49127,Story & Art
1268,2086,Story & Art
108639,46619,Story & Art
3101,2083,Story
3101,8746,Art
111357,15475,Story & Art
5655,2838,Story & Art
5638,4674,Story
5638,4675,Art
119,1877,Story & Art
61583,27047,Story & Art
97579,39661,Story
97579,40840,Art
96046,3966,Story & Art
84983,11257,Story & Art
147712,58568,Story
147712,58569,Art
130806,52713,Story
130806,52714,Art
89049,2483,Story
89049,37894,Art
1184,2104,Story & Art
45996,1893,Story & Art
35719,13521,Story & Art
130826,48825,Story
9607,6973,Story & Art
655,2559,Story & Art
121426,43216,Story & Art
66001,2812,Story & Art
102504,43451,Story & Art
50145,20176,Story & Art
634,2555,Story & Art
1363,2519,Story & Art
1595,2381,Story & Art
146912,58253,Story
146912,58254,Art
1079,2814,Story & Art
3281,3590,Story & Art
25245,11015,Story & Art
36099,4908,Story & Art
2598,2347,Story
2598,2885,Story
2598,4410,Art
