anime_id,demographic_id
49926,32aca857-3a28-499d-a172-f3f1aa70b534
10165,32aca857-3a28-499d-a172-f3f1aa70b534
34612,32aca857-3a28-499d-a172-f3f1aa70b534
42897,32aca857-3a28-499d-a172-f3f1aa70b534
37520,32aca857-3a28-499d-a172-f3f1aa70b534
24415,32aca857-3a28-499d-a172-f3f1aa70b534
28977,32aca857-3a28-499d-a172-f3f1aa70b534
457,760597dc-608b-4748-a57c-68a4a9b4f024
48736,760597dc-608b-4748-a57c-68a4a9b4f024
10408,2d5b9e9c-1f01-43f8-b7c4-c35baf86af84
28171,32aca857-3a28-499d-a172-f3f1aa70b534
41467,32aca857-3a28-499d-a172-f3f1aa70b534
33486,32aca857-3a28-499d-a172-f3f1aa70b534
392,32aca857-3a28-499d-a172-f3f1aa70b534
9969,32aca857-3a28-499d-a172-f3f1aa70b534
813,32aca857-3a28-499d-a172-f3f1aa70b534
30503,32aca857-3a28-499d-a172-f3f1aa70b534
16894,32aca857-3a28-499d-a172-f3f1aa70b534
41025,32aca857-3a28-499d-a172-f3f1aa70b534
50602,32aca857-3a28-499d-a172-f3f1aa70b534
34572,32aca857-3a28-499d-a172-f3f1aa70b534
42938,2d5b9e9c-1f01-43f8-b7c4-c35baf86af84
853,2d5b9e9c-1f01-43f8-b7c4-c35baf86af84
24833,32aca857-3a28-499d-a172-f3f1aa70b534
18115,32aca857-3a28-499d-a172-f3f1aa70b534
121,32aca857-3a28-499d-a172-f3f1aa70b534
51019,32aca857-3a28-499d-a172-f3f1aa70b534
40852,32aca857-3a28-499d-a172-f3f1aa70b534
136,32aca857-3a28-499d-a172-f3f1aa70b534
40417,2d5b9e9c-1f01-43f8-b7c4-c35baf86af84
32867,760597dc-608b-4748-a57c-68a4a9b4f024
20899,32aca857-3a28-499d-a172-f3f1aa70b534
877,2d5b9e9c-1f01-43f8-b7c4-c35baf86af84
49387,760597dc-608b-4748-a57c-68a4a9b4f024
36456,32aca857-3a28-499d-a172-f3f1aa70b534
31646,760597dc-608b-4748-a57c-68a4a9b4f024
47,760597dc-608b-4748-a57c-68a4a9b4f024
35180,760597dc-608b-4748-a57c-68a4a9b4f024
32282,32aca857-3a28-499d-a172-f3f1aa70b534
49596,32aca857-3a28-499d-a172-f3f1aa70b534
38680,2d5b9e9c-1f01-43f8-b7c4-c35baf86af84
43,760597dc-608b-4748-a57c-68a4a9b4f024
6,32aca857-3a28-499d-a172-f3f1aa70b534
20,32aca857-3a28-499d-a172-f3f1aa70b534
11771,32aca857-3a28-499d-a172-f3f1aa70b534
49918,32aca857-3a28-499d-a172-f3f1aa70b534
10162,7ad51a69-f25b-408d-aca5-6fcc6c865981
51535,32aca857-3a28-499d-a172-f3f1aa70b534
38003,760597dc-608b-4748-a57c-68a4a9b4f024
12365,32aca857-3a28-499d-a172-f3f1aa70b534
7054,2d5b9e9c-1f01-43f8-b7c4-c35baf86af84
22135,760597dc-608b-4748-a57c-68a4a9b4f024
15417,32aca857-3a28-499d-a172-f3f1aa70b534
20507,32aca857-3a28-499d-a172-f3f1aa70b534
45,32aca857-3a28-499d-a172-f3f1aa70b534
7674,32aca857-3a28-499d-a172-f3f1aa70b534
1519,760597dc-608b-4748-a57c-68a4a9b4f024
10030,32aca857-3a28-499d-a172-f3f1aa70b534
47194,32aca857-3a28-499d-a172-f3f1aa70b534
14513,32aca857-3a28-499d-a172-f3f1aa70b534
39783,32aca857-3a28-499d-a172-f3f1aa70b534
35788,32aca857-3a28-499d-a172-f3f1aa70b534
889,760597dc-608b-4748-a57c-68a4a9b4f024
42249,32aca857-3a28-499d-a172-f3f1aa70b534
5258,32aca857-3a28-499d-a172-f3f1aa70b534
269,32aca857-3a28-499d-a172-f3f1aa70b534
35557,760597dc-608b-4748-a57c-68a4a9b4f024
31964,32aca857-3a28-499d-a172-f3f1aa70b534
223,32aca857-3a28-499d-a172-f3f1aa70b534
34096,32aca857-3a28-499d-a172-f3f1aa70b534
38408,32aca857-3a28-499d-a172-f3f1aa70b534
14713,2d5b9e9c-1f01-43f8-b7c4-c35baf86af84
35062,32aca857-3a28-499d-a172-f3f1aa70b534
36946,32aca857-3a28-499d-a172-f3f1aa70b534
25013,2d5b9e9c-1f01-43f8-b7c4-c35baf86af84
14719,32aca857-3a28-499d-a172-f3f1aa70b534
6045,2d5b9e9c-1f01-43f8-b7c4-c35baf86af84
48661,32aca857-3a28-499d-a172-f3f1aa70b534
